ayahRef,wordId,word,translation,highlight
,,كَبِير ,Great / Large,
2:217,,يَسۡـَٔلُونَكَ عَنِ ٱلشَّهۡرِ ٱلۡحَرَامِ قِتَالٖ فِيهِۖ قُلۡ قِتَالٞ فِيهِ كَبِيرٞۚ وَصَدٌّ عَن سَبِيلِ ٱللَّهِ وَكُفۡرُۢ بِهِۦ وَٱلۡمَسۡجِدِ ٱلۡحَرَامِ وَإِخۡرَاجُ أَهۡلِهِۦ مِنۡهُ أَكۡبَرُ عِندَ ٱللَّهِۚ ,"They ask you about the sacred month - about fighting therein. Say, ""Fighting therein is great (sin), but averting (people) from the way of Allah and disbelief in Him and (preventing access to) al-Masjid al-Haram and the expulsion of its people therefrom are greater (evil) in the sight of Allah. ",كَبِيرٞۚ
9:121,,وَلَا يُنفِقُونَ نَفَقَةً صَغِيرَةً وَلَا كَبِيرَةً وَلَا يَقْطَعُونَ وَادِيًا إِلَّا كُتِبَ لَهُمْ  ,"Nor do they spend an expenditure, small or large, or cross a valley but that it is registered for them ",كَبِيرَةً
,,أَكۡبَر , Greater / Larger,
2:217,,يَسۡـَٔلُونَكَ عَنِ ٱلشَّهۡرِ ٱلۡحَرَامِ قِتَالٖ فِيهِۖ قُلۡ قِتَالٞ فِيهِ كَبِيرٞۚ وَصَدٌّ عَن سَبِيلِ ٱللَّهِ وَكُفۡرُۢ بِهِۦ وَٱلۡمَسۡجِدِ ٱلۡحَرَامِ وَإِخۡرَاجُ أَهۡلِهِۦ مِنۡهُ أَكۡبَرُ عِندَ ٱللَّهِۚ ,"They ask you about the sacred month - about fighting therein. Say, ""Fighting therein is great (sin), but averting (people) from the way of Allah and disbelief in Him and (preventing access to) al-Masjid al-Haram and the expulsion of its people therefrom are greater (evil) in the sight of Allah. ",أَكۡبَرُ
,,كَثِير  ,Many ,
2:26,,يُضِلُّ بِهِۦ كَثِيرٗا وَيَهۡدِي بِهِۦ كَثِيرٗاۚ ,He misleads many thereby and guides many thereby. ,كَثِيرٗا
,,أَكۡثَر  , Most,
40:61,,إِنَّ ٱللَّهَ لَذُو فَضۡلٍ عَلَى ٱلنَّاسِ وَلَٰكِنَّ أَكۡثَرَ ٱلنَّاسِ لَا يَشۡكُرُونَ ,"Indeed, Allah is full of bounty to the people, but most of the people are not grateful. ",أَكۡثَرَ
,, سَرِيع ,Swift,
3:19,,وَمَن يَكۡفُرۡ بِـَٔايَٰتِ ٱللَّهِ فَإِنَّ ٱللَّهَ سَرِيعُ ٱلۡحِسَابِ ,"And whoever disbelieves in the signs/verses of Allah, then indeed, Allah is swift in (taking) account. ",سَرِيعُ
,, أَسۡرَع ,swiftest ,
6:62,,أَلَا لَهُ ٱلۡحُكۡمُ وَهُوَ أَسۡرَعُ ٱلۡحَٰسِبِينَ ,"Unquestionably, His is the judgement, and He is the swiftest of accountants. ",أَسۡرَعُ
,,قَلِيل,Little/ few,
34:13,,ٱعۡمَلُوٓاْ ءَالَ دَاوُۥدَ شُكۡرٗاۚ وَقَلِيلٞ مِّنۡ عِبَادِيَ ٱلشَّكُورُ ,"Work, O family of David, in gratitude. And few of My servants are grateful. ",قَلِيلٞ
2:79,,ثُمَّ يَقُولُونَ هَٰذَا مِنۡ عِندِ ٱللَّهِ لِيَشۡتَرُواْ بِهِۦ ثَمَنٗا قَلِيلٗاۖ ,"then (they) say, ""This is from Allah,"" in order to exchange it for a small price. ",قَلِيلٗاۖ
,,كَرِيم,Noble,
(8:4,,لَّهُمۡ دَرَجَٰتٌ عِندَ رَبِّهِمۡ وَمَغۡفِرَةٞ وَرِزۡقٞ كَرِيمٞ ,"Those are the believers, truly. For them are degrees (of high position) with their Lord and forgiveness and noble provision. ",كَرِيمٞ
12:31,,وَقُلۡنَ حَٰشَ لِلَّهِ مَا هَٰذَا بَشَرًا إِنۡ هَٰذَآ إِلَّا مَلَكٞ كَرِيمٞ ,"and (they) said, ""Perfect is Allah! This is not a man; this is none but a noble angel."" ",كَرِيمٞ
,,حَفِيظ,Guardian/ Protector,
12:55,,قَالَ ٱجۡعَلۡنِي عَلَىٰ خَزَآئِنِ ٱلۡأَرۡضِۖ إِنِّي حَفِيظٌ عَلِيمٞ ,"(Joseph) said, ""Appoint me over the storehouses of the land. Indeed, I will be a knowledgeable guardian."" ",حَفِيظٌ
4:80,,وَمَن تَوَلَّىٰ فَمَآ أَرۡسَلۡنَٰكَ عَلَيۡهِمۡ حَفِيظٗا ,but those who turn away - We have not sent you over them as a guardian. ,حَفِيظٗا
,,أَحۡسَن,Better,
4:86,,وَإِذَا حُيِّيتُم بِتَحِيَّةٖ فَحَيُّواْ بِأَحۡسَنَ مِنۡهَآ أَوۡ رُدُّوهَآۗ ,"And when you are greeted with a greeting, greet (in return) with one better than it or (at least) return it (in a like manner). ",بِأَحۡسَنَ
5:50,,وَمَنۡ أَحۡسَنُ مِنَ ٱللَّهِ حُكۡمٗا لِّقَوۡمٖ يُوقِنُونَ ,But who is better than Allah in judgement for a people who are certain (in faith). ,أَحۡسَنُ
,,أَظۡلَم,More unjust,
6:21,,وَمَنۡ أَظۡلَمُ مِمَّنِ ٱفۡتَرَىٰ عَلَى ٱللَّهِ كَذِبًا ,And who is more unjust than one who invents a lie about Allah ,أَظۡلَمُ
2:114,,وَمَنۡ أَظۡلَمُ مِمَّن مَّنَعَ مَسَٰجِدَ ٱللَّهِ أَن يُذۡكَرَ فِيهَا ٱسۡمُهُ ,And who are more unjust than those who prevent the name of Allah from being mentioned in His mosques ,أَظۡلَمُ
,,أَحَق,More worthy,
2:247,,قَالُوٓاْ أَنَّىٰ يَكُونُ لَهُ ٱلۡمُلۡكُ عَلَيۡنَا وَنَحۡنُ أَحَقُّ بِٱلۡمُلۡكِ مِنۡهُ ,"They said, ""How can he have kingship over us while we are more worthy of kingship than him ",أَحَقُّ
6:81,,فَأَيُّ ٱلۡفَرِيقَيۡنِ أَحَقُّ بِٱلۡأَمۡنِۖ ,"So which of the two parties has more right to security, ",أَحَقُّ
,,أَدۡنَى,Nearer/ More likely,
2:282,,ذَٰلِكُمۡ أَقۡسَطُ عِندَ ٱللَّهِ وَأَقۡوَمُ لِلشَّهَٰدَةِ وَأَدۡنَىٰٓ أَلَّا تَرۡتَابُوٓاْ ,"That is more just in the sight of Allah and stronger as evidence and more likely to prevent doubt between you, ",أَدۡنَىٰٓ
4:3,,ذَٰلِكَ أَدۡنَىٰٓ أَلَّا تَعُولُواْ ,That is more suitable that you may not incline (to injustice). ,أَدۡنَىٰٓ
,,رَسُول ,Messenger,
5:75,,مَّا ٱلۡمَسِيحُ ٱبۡنُ مَرۡيَمَ إِلَّا رَسُولٞ قَدۡ خَلَتۡ مِن قَبۡلِهِ ٱلرُّسُلُ وَأُمُّهُۥ صِدِّيقَةٞۖ  ,"The Messiah, son of Mary, was not but a messenger; (other) messengers have passed on before him. And his mother was a supporter of truth. ",رَسُولٞ
3:183,,ٱلَّذِينَ قَالُوٓاْ إِنَّ ٱللَّهَ عَهِدَ إِلَيۡنَآ أَلَّا نُؤۡمِنَ لِرَسُولٍ حَتَّىٰ يَأۡتِيَنَا بِقُرۡبَان تَأۡكُلُهُ ٱلنَّارُۗ قُلۡ قَدۡ جَآءَكُمۡ رُسُلٞ مِّن قَبۡلِي بِٱلۡبَيِّنَٰتِ ,"(They are) those who said, ""Indeed, Allah has taken our promise not to believe any messenger until he brings us an offering which fire (from heaven) will consume."" Say, ""There have already come to you messengers before me with clear proofs ",لِرَسُولٍ
,,رُسُل,Messengers,
5:75,,مَّا ٱلۡمَسِيحُ ٱبۡنُ مَرۡيَمَ إِلَّا رَسُولٞ قَدۡ خَلَتۡ مِن قَبۡلِهِ ٱلرُّسُلُ وَأُمُّهُۥ صِدِّيقَةٞۖ  ,"The Messiah, son of Mary, was not but a messenger; (other) messengers have passed on before him. And his mother was a supporter of truth. ",ٱلرُّسُلُ
3:183,,ٱلَّذِينَ قَالُوٓاْ إِنَّ ٱللَّهَ عَهِدَ إِلَيۡنَآ أَلَّا نُؤۡمِنَ لِرَسُولٍ حَتَّىٰ يَأۡتِيَنَا بِقُرۡبَان تَأۡكُلُهُ ٱلنَّارُۗ قُلۡ قَدۡ جَآءَكُمۡ رُسُلٞ مِّن قَبۡلِي بِٱلۡبَيِّنَٰتِ ,"(They are) those who said, ""Indeed, Allah has taken our promise not to believe any messenger until he brings us an offering which fire (from heaven) will consume."" Say, ""There have already come to you messengers before me with clear proofs ",رُسُلٞ
,,نَبِي,Prophet,
7:94,,وَمَآ أَرۡسَلۡنَا فِي قَرۡيَةٖ مِّن نَّبِيٍّ إِلَّآ أَخَذۡنَآ أَهۡلَهَا بِٱلۡبَأۡسَآءِ وَٱلضَّرَّآءِ  ,And We sent to no city a prophet (who was denied) except that We seized its people with poverty and hardship ,نَّبِيٍّ
22:52,,وَمَآ أَرۡسَلۡنَا مِن قَبۡلِكَ مِن رَّسُولٖ وَلَا نَبِيٍّ إِلَّآ إِذَا تَمَنَّىٰٓ أَلۡقَى ٱلشَّيۡطَٰنُ فِيٓ أُمۡنِيَّتِهِۦ,"And We did not send before you any messenger or prophet except that when he spoke (or recited), Satan threw into it (some misunderstanding). ",نَبِيٍّ
,,أَنۢبِيَآء ,Prophets,
2:91,,قُلۡ فَلِمَ تَقۡتُلُونَ أَنۢبِيَآءَ ٱللَّهِ مِن قَبۡلُ إِن كُنتُم مُّؤۡمِنِينَ ," Say, ""Then why did you kill the prophets of Allah before, if you are (indeed) believers?"" ",أَنۢبِيَآءَ
,, نَّبِيُّونَ ,Prophets,
5:44,,يَحۡكُمُ بِهَا ٱلنَّبِيُّونَ ٱلَّذِينَ أَسۡلَمُواْ لِلَّذِينَ هَادُواْ ,"The prophets who submitted (to Allah) judged by it for the Jews, ",ٱلنَّبِيُّونَ
,,نَّبِيِّـۧنَ,Prophets,
17:55,,وَلَقَدۡ فَضَّلۡنَا بَعۡضَ ٱلنَّبِيِّـۧنَ عَلَىٰ بَعۡضٖۖ ,"And We have made some of the prophets exceed others (in various ways), ",ٱلنَّبِيِّـۧنَ
,,أَمِين,Trustworthy/ Honest,
26:107,,إِنِّي لَكُمۡ رَسُولٌ أَمِينٞ ,"Indeed, I am to you a trustworthy messenger. ",أَمِينٞ
12:54,,فَلَمَّا كَلَّمَهُۥ قَالَ إِنَّكَ ٱلۡيَوۡمَ لَدَيۡنَا مَكِينٌ أَمِينٞ ,"And when he spoke to him, he said, ""Indeed, you are today established (in position) and trusted."" ",أَمِينٞ
,,نَذِير,Warner,
2:119,,إِنَّآ أَرۡسَلۡنَٰكَ بِٱلۡحَقِّ بَشِيرٗا وَنَذِيرٗاۖ  ,"Indeed, We have sent you, (O Muhammad), with the truth as a bringer of good tidings and a warner, ",نَذِيرٗاۖ
15:89,,وَقُلۡ إِنِّيٓ أَنَا ٱلنَّذِيرُ ٱلۡمُبِينُ ,"And say, ""Indeed, I am the clear warner"" - ",ٱلنَّذِيرُ
,,مُوسَىٰ ,Moses,
21:48,,وَلَقَدۡ ءَاتَيۡنَا مُوسَىٰ وَهَٰرُونَ ٱلۡفُرۡقَانَ وَضِيَآءٗ ,And We had already given Moses and Aaron the criterion and a light. ,مُوسَىٰ
10:75,,ثُمَّ بَعَثۡنَا مِنۢ بَعۡدِهِم مُّوسَىٰ وَهَٰرُونَ إِلَىٰ فِرۡعَوۡنَ وَمَلَإِيْهِ ,Then We sent after them Moses and Aaron to Pharaoh and his establishment ,مُوسَىٰ
,, هَٰرُون, Aaron,
21:48,,وَلَقَدۡ ءَاتَيۡنَا مُوسَىٰ وَهَٰرُونَ ٱلۡفُرۡقَانَ وَضِيَآءٗ ,And We had already given Moses and Aaron the criterion and a light. ,هَٰرُونَ
10:75,,ثُمَّ بَعَثۡنَا مِنۢ بَعۡدِهِم مُّوسَىٰ وَهَٰرُونَ إِلَىٰ فِرۡعَوۡنَ وَمَلَإِيْهِ ,Then We sent after them Moses and Aaron to Pharaoh and his establishment ,هَٰرُونَ
,,إِبۡرَٰهِـۧم (إِبۡرَٰهِيم),Abraham,
2:124,,وَإِذِ ٱبۡتَلَىٰٓ إِبۡرَٰهِ,"And (mention, O Muhammad), when Abraham was tried by his Lord with commands and he fulfilled them. ",إِبۡرَٰهِ
3:3,,إِنَّ ٱللَّهَ ٱصۡطَفَىٰٓ ءَادَمَ وَنُوحٗا وَءَالَ إِبۡرَٰهِيمَ وَءَالَ عِمۡرَٰنَ ,"Indeed, Allah chose Adam and Noah and the family of Abraham and the family of 'Imran ",إِبۡرَٰهِيمَ
3:84,,قُلۡ ءَامَنَّا بِٱللَّهِ وَمَآ أُنزِلَ عَلَيۡنَا وَمَآ أُنزِلَ عَلَىٰٓ إِبۡرَٰهِيمَ وَإِسۡمَٰعِيلَ ,"Say, ""We have believed in Allah and in what was revealed to us and what was revealed to Abraham, Ishmael, ",إِبۡرَٰهِيمَ
,, إِسۡمَٰعِيل,Ishmael,
3:84,,قُلۡ ءَامَنَّا بِٱللَّهِ وَمَآ أُنزِلَ عَلَيۡنَا وَمَآ أُنزِلَ عَلَىٰٓ إِبۡرَٰهِيمَ وَإِسۡمَٰعِيلَ ,"Say, ""We have believed in Allah and in what was revealed to us and what was revealed to Abraham, Ishmael, ",إِسۡمَٰعِيلَ
,,نُوح,Noah,
3:33,,إِنَّ ٱللَّهَ ٱصۡطَفَىٰٓ ءَادَمَ وَنُوحٗا وَءَالَ إِبۡرَٰهِيمَ ,"Indeed, Allah chose Adam and Noah and the family of Abraham and the family of 'Imran ",نُوحٗا
11:48,,قِيلَ يَٰنُوحُ ٱهۡبِطۡ بِسَلَٰمٖ مِّنَّا وَبَرَكَٰتٍ عَلَيۡكَ ,"It was said, ""O Noah, disembark in security from Us and blessings upon you ",يَٰنُوحُ
,,يُوسُف,Joseph,
12:4,,إِذۡ قَالَ يُوسُفُ لِأَبِيهِ يَٰٓأَبَتِ إِنِّي رَأَيۡتُ أَحَدَ عَشَرَ كَوۡكَبٗا ,"(Of these stories mention) when Joseph said to his father, ""O my father, indeed I have seen (in a dream) eleven stars ",يُوسُفُ
12:7,,لَّقَدۡ كَانَ فِي يُوسُفَ وَإِخۡوَتِهِۦٓ ءَايَٰتٞ لِّلسَّآئِلِينَ ,"Certainly were there in Joseph and his brothers signs for those who ask, ",يُوسُفَ
,,لُوط,Lot,
15:61,,فَلَمَّا جَآءَ ءَالَ لُوطٍ ٱلۡمُرۡسَلُونَ ," And when the messengers came to the family of Lot, ",لُوطٍ
27:54,,وَلُوطًا إِذۡ قَالَ لِقَوۡمِهِۦٓ أَتَأۡتُونَ ٱلۡفَٰحِشَةَ وَأَنتُمۡ تُبۡصِرُونَ ,"And (mention) Lot, when he said to his people, ""Do you commit immorality while you are seeing? ",لُوطًا
,,عِيسَى ٱبۡنِ مَرۡيَم,"Jesus, son of Mary",
4:157,,وَقَوۡلِهِمۡ إِنَّا قَتَلۡنَا ٱلۡمَسِيحَ عِيسَى ٱبۡنَ مَرۡيَمَ رَسُولَ ٱللَّهِ وَمَا قَتَلُوهُ وَمَا صَلَبُوهُ  ," And (for) their saying, ""Indeed, we have killed the Messiah, Jesus, the son of Mary, the messenger of Allah."" And they did not kill him, and they did not crucify him",ٱلۡمَسِيحَ عِيسَى ٱبۡنَ مَرۡيَمَ 
5:17,,قُلۡ فَمَن يَمۡلِكُ مِنَ ٱللَّهِ شَيۡـًٔا إِنۡ أَرَادَ أَن يُهۡلِكَ ٱلۡمَسِيحَ ٱبۡنَ مَرۡيَمَ ,"Say, ""Then who could prevent Allah at all if He had intended to destroy Messiah, the son of Mary, ",ٱلۡمَسِيحَ ٱبۡنَ مَرۡيَم
,,ءَادَم,Adam,
2:31,,وَعَلَّمَ ءَادَمَ ٱلۡأَسۡمَآءَ كُلَّهَا ثُمَّ عَرَضَهُمۡ عَلَى ٱلۡمَلَٰٓئِكَةِ ,And He taught Adam the names - all of them. Then He showed them to the angels ,ءَادَمَ
2:37,,فَتَلَقَّىٰٓ ءَادَمُ مِن رَّبِّهِۦ كَلِمَٰتٖ فَتَابَ عَلَيۡهِۚ ,"Then Adam received from his Lord (some) words, and He accepted his repentance.",ءَادَمُ
,,سُلَيۡمَٰن,Solomon,
2:102,,وَمَا كَفَرَ سُلَيۡمَٰنُ وَلَٰكِنَّ ٱلشَّيَٰطِينَ كَفَرُواْ ,"It was not Solomon who disbelieved, but the devils disbelieved, ",سُلَيۡمَٰنُ
6:84,,وَمِن ذُرِّيَّتِهِۦ دَاوُۥدَ وَسُلَيۡمَٰنَ وَأَيُّوبَ وَيُوسُفَ وَمُوسَىٰ وَهَٰرُونَۚ ,"and among his descendants, David and Solomon and Job and Joseph and Moses and Aaron. ",سُلَيۡمَٰنَ
,,إِسۡحَٰق,Isaac,
11:71,,وَٱمۡرَأَتُهُۥ قَآئِمَةٞ فَضَحِكَتۡ فَبَشَّرۡنَٰهَا بِإِسۡحَٰقَ وَمِن وَرَآءِ إِسۡحَٰقَ يَعۡقُوبَ ,"And his wife was standing, and she smiled. Then We gave her good tidings of Isaac and after Isaac, Jacob. ",بِإِسۡحَٰقَ
,, يَعۡقُوب , Jacob ,
11:71,,وَٱمۡرَأَتُهُۥ قَآئِمَةٞ فَضَحِكَتۡ فَبَشَّرۡنَٰهَا بِإِسۡحَٰقَ وَمِن وَرَآءِ إِسۡحَٰقَ يَعۡقُوبَ ,"And his wife was standing, and she smiled. Then We gave her good tidings of Isaac and after Isaac, Jacob. ",يَعۡقُوبَ
,,إِسۡرَٰٓءِيل,Israel,
17:2,,وَءَاتَيۡنَا مُوسَى ٱلۡكِتَٰبَ وَجَعَلۡنَٰهُ هُدٗى لِّبَنِيٓ إِسۡرَٰٓءِيلَ ,And We gave Moses the Scripture and made it a guidance for the Children of Israel ,إِسۡرَٰٓءِيلَ
,,دَاوُۥد,David,
17:55,,وَلَقَدۡ فَضَّلۡنَا بَعۡضَ ٱلنَّبِيِّـۧنَ عَلَىٰ بَعۡضٖۖ وَءَاتَيۡنَا دَاوُۥدَ زَبُورٗا ,"And We have made some of the prophets exceed others (in various ways), and to David We gave the book (of Psalms). ",دَاوُۥدَ
2:251,,فَهَزَمُوهُم بِإِذۡنِ ٱللَّهِ وَقَتَلَ دَاوُۥدُ جَالُوتَ ,"So they defeated them by permission of Allah, and David killed Goliath, ",دَاوُۥدُ
,,زَكَرِيا,Zachariah,
19:2,,ذِكۡرُ رَحۡمَتِ رَبِّكَ عَبۡدَهُۥ زَكَرِيَّآ ,(This is) a mention of the mercy of your Lord to His servant Zechariah ,زَكَرِيَّآ
,,يَحۡيَىٰ,John,
19:7,,يَٰزَكَرِيَّآ إِنَّا نُبَشِّرُكَ بِغُلَٰمٍ ٱسۡمُهُۥ يَحۡيَىٰ ,"O Zechariah, indeed We give you good tidings of a boy whose name will be John.",يَحۡيَىٰ 
,,أَيُّوب,Job,
21:83,,وَأَيُّوبَ إِذۡ نَادَىٰ رَبَّهُۥٓ أَنِّي مَسَّنِيَ ٱلضُّرُّ وَأَنتَ أَرۡحَمُ ٱلرَّٰحِمِينَ ,"And (mention) Job, when he called to his Lord, Indeed, adversity has touched me, and you are the Most Merciful of the merciful."" ",أَيُّوبَ
,,يُونُس (ذَا ٱلنُّون),Jonah,
37:139,,وَإِنَّ يُونُسَ لَمِنَ ٱلۡمُرۡسَلِينَ ,"And indeed, Jonah was among the messengers. (37:139) ",يُونُسَ
21:87,,وَذَا ٱلنُّونِ إِذ ذَّهَبَ مُغَٰضِبٗا فَظَنَّ أَن لَّن نَّقۡدِرَ عَلَيۡهِ ,"And (mention) the man of the fish, when he went off in anger and thought that We would not decree (anything) upon him.",ذَا ٱلنُّونِ
,,شُعَيۡب (مَدۡيَن),Shu’ayb (Madian),
7:85,,وَإِلَىٰ مَدۡيَنَ أَخَاهُمۡ شُعَيۡبٗاۚ قَالَ يَٰقَوۡمِ ٱعۡبُدُواْ ٱللَّهَ ,"And to (the people of) Madyan (We sent) their brother Shu'ayb. He said, ""O my people, worship Allah; ",شُعَيۡبٗاۚ
,,صَٰلِح (ثَمُود),Salih (Thamud),
11:61,,وَإِلَىٰ ثَمُودَ أَخَاهُمۡ صَٰلِحٗاۚ قَالَ يَٰقَوۡمِ ٱعۡبُدُواْ ٱللَّهَ ,"And to Thamud (We sent) their brother Salih. He said, ""O my people, worship Allah;",صَٰلِحٗاۚ
,,هُود (عَاد),Hud (‘Aad),
11:50,,وَإِلَىٰ عَادٍ أَخَاهُمۡ هُودٗاۚ قَالَ يَٰقَوۡمِ ٱعۡبُدُواْ ٱللَّهَ ,"And to 'Aad (We sent) their brother 11. He said, ""O my people, worship Allah; ",هُودٗاۚ
,,ءَاية ,Sign/ verse,
10:97,,وَلَوۡ جَآءَتۡهُمۡ كُلُّ ءَايَةٍ حَتَّىٰ يَرَوُاْ ٱلۡعَذَابَ ٱلۡأَلِيمَ ," Even if every sign should come to them, until they see the painful punishment. ",ءَايَةٍ
,,ءَايات,Signs/ verses,
2:99,,وَلَقَدۡ أَنزَلۡنَآ إِلَيۡكَ ءَايَٰتِۭ بَيِّنَٰتٖۖ ,"And We have certainly revealed to you verses (which are) clear proofs, ",ءَايَٰتِۭ
,,ٱلۡقُرۡءَان,The Quran,
9:111,,وَعۡدًا عَلَيۡهِ حَقّٗا فِي ٱلتَّوۡرَىٰةِ وَٱلۡإِنجِيلِ وَٱلۡقُرۡءَانِۚ ,(It is) a true promise (binding) upon Him in the Torah and the Gospel and the Qur'an. ,ٱلۡقُرۡءَانِۚ
2:185,,شَهۡرُ رَمَضَانَ ٱلَّذِيٓ أُنزِلَ فِيهِ ٱلۡقُرۡءَانُ هُدٗى لِّلنَّاسِ ,"The month of Ramadhan (is that) in which was revealed the Qur'an, a guidance for the people",ٱلۡقُرۡءَانُ
,,ٱلۡإِنجِيل,The Gospel,
5:47,,وَلۡيَحۡكُمۡ أَهۡلُ ٱلۡإِنجِيلِ بِمَآ أَنزَلَ ٱللَّهُ فِيهِۚ ,And let the People of the Gospel judge by what Allah has revealed therein. ,ٱلۡإِنجِيلِ
9:111,,وَعۡدًا عَلَيۡهِ حَقّٗا فِي ٱلتَّوۡرَىٰةِ وَٱلۡإِنجِيلِ وَٱلۡقُرۡءَانِۚ ,(It is) a true promise (binding) upon Him in the Torah and the Gospel and the Qur'an. ,ٱلۡإِنجِيلِ
,,ٱلتَّوۡرَىٰة,The Torah,
5:66,,وَلَوۡ أَنَّهُمۡ أَقَامُواْ ٱلتَّوۡرَىٰةَ وَٱلۡإِنجِيلَ وَمَآ أُنزِلَ إِلَيۡهِم ,"And if only they upheld (the law of) the Torah, the Gospel, and what has been revealed to them ",ٱلتَّوۡرَىٰةَ
9:111,,وَعۡدًا عَلَيۡهِ حَقّٗا فِي ٱلتَّوۡرَىٰةِ وَٱلۡإِنجِيلِ وَٱلۡقُرۡءَانِۚ ,(It is) a true promise (binding) upon Him in the Torah and the Gospel and the Qur'an. ,ٱلتَّوۡرَىٰةِ
,,أَنۡعَام,Livestock,
16:5,,وَٱلۡأَنۡعَٰمَ خَلَقَهَاۖ لَكُمۡ فِيهَا دِفۡءٞ وَمَنَٰفِع,"And the grazing livestock He has created for you; in them is warmth and (numerous) benefits, ",ٱلۡأَنۡعَٰمَ
25:44,,أُوْلَٰٓئِكَ كَٱلۡأَنۡعَٰمِ بَلۡ هُمۡ أَضَلُّۚ,"They are not except like livestock. Rather, they are (even) more astray in (their) way. ",كَٱلۡأَنۡعَٰمِ
,,جَبَل,Mountain,
7:171,,وَإِذۡ نَتَقۡنَا ٱلۡجَبَلَ فَوۡقَهُمۡ كَأَنَّهُۥ ظُلَّةٞ ,And (mention) when We raised the mountain above them as if it was a dark cloud,ٱلۡجَبَلَ
,,جِبَال,Mountains,
20:105,,وَيَسۡـَٔلُونَكَ عَنِ ٱلۡجِبَالِ فَقُلۡ يَنسِفُهَا رَبِّي نَسۡفٗا ,"And they ask you about the mountains, so say, ""My Lord will blow them away with a blast. ",ٱلۡجِبَالِ
,,بَـحۡر,Sea/ River,
22:65,,وَٱلۡفُلۡكَ تَجۡرِي فِي ٱلۡبَحۡرِ بِأَمۡرِهِ ,and the ships which run through the sea by His command ,ٱلۡبَحۡرِ
25:53,,وَهُوَ ٱلَّذِي مَرَجَ ٱلۡبَحۡرَيۡنِ هَٰذَا عَذۡبٞ فُرَاتٞ وَهَٰذَا مِلۡحٌ أُجَاجٞ ,"And it is He who has released (simultaneously) the two seas, one fresh and sweet and one salty and bitter, ",ٱلۡبَحۡرَيۡنِ
,,نَهَر,River,
18:33,,كِلۡتَا ٱلۡجَنَّتَيۡنِ ءَاتَتۡ أُكُلَهَا وَلَمۡ تَظۡلِم مِّنۡهُ شَيۡـٔٗاۚ وَفَجَّرۡنَا خِلَٰلَهُمَا نَهَرٗا ,Each of the two gardens produced its fruit and did not fall short thereof in anything. And We caused to gush forth within them a river. ,نَهَرٗا
,,أَنۡهَٰر,Rivers,
54:54,,إِنَّ ٱلۡمُتَّقِينَ فِي جَنَّٰتٖ وَنَهَرٖ ,"Indeed, the righteous will be among in gardens and rivers, ",نَهَرٖ
,,شَمۡس,Sun,
17:78,,أَقِمِ ٱلصَّلَوٰةَ لِدُلُوكِ ٱلشَّمۡسِ إِلَىٰ غَسَقِ ٱلَّيۡلِ ,Establish prayer at the decline of the sun (from its meridian) until the darkness of the night ,ٱلشَّمۡسِ
,,قَمَر,Moon,
21:33,,وَهُوَ ٱلَّذِي خَلَقَ ٱلَّيۡلَ وَٱلنَّهَارَ وَٱلشَّمۡسَ وَٱلۡقَمَرَۖ ,And it is He who created the night and the day and the sun and the moon; ,ٱلۡقَمَرَۖ
36:39,,وَٱلۡقَمَرَ قَدَّرۡنَٰهُ مَنَازِلَ حَتَّىٰ عَادَ كَٱلۡعُرۡجُونِ ٱلۡقَدِيمِ ,"And the moon - We have determined for it phases, until it returns (appearing) like the old date stalk. ",ٱلۡقَمَرَ
,,لَيۡل,Night,
36:37,,وَءَايَةٞ لَّهُمُ ٱلَّيۡلُ نَسۡلَخُ مِنۡهُ ٱلنَّهَارَ فَإِذَا هُم مُّظۡلِمُونَ ,"And a sign for them is the night. We extract from it (the light of) day, so they are (left) in darkness. ",ٱلَّيۡلُ
36:40,,لَا ٱلشَّمۡسُ يَنۢبَغِي لَهَآ أَن تُدۡرِكَ ٱلۡقَمَرَ وَلَا ٱلَّيۡلُ سَابِقُ ٱلنَّهَارِۚ ,"It is not allowable for the sun to reach the moon, nor does the night overtake the day, ",ٱلَّيۡلُ
,,نَهَار,Daytime,
36:37,,وَءَايَةٞ لَّهُمُ ٱلَّيۡلُ نَسۡلَخُ مِنۡهُ ٱلنَّهَارَ فَإِذَا هُم مُّظۡلِمُونَ ,"And a sign for them is the night. We extract from it (the light of) day, so they are (left) in darkness.",ٱلنَّهَارَ
36:40,,لَا ٱلشَّمۡسُ يَنۢبَغِي لَهَآ أَن تُدۡرِكَ ٱلۡقَمَرَ وَلَا ٱلَّيۡلُ سَابِقُ ٱلنَّهَارِۚ ,"It is not allowable for the sun to reach the moon, nor does the night overtake the day, ",ٱلنَّهَارِۚ
,,أَرۡض,Earth,
26:24,,رَّبُّ ٱلسَّمَٰوَٰتِ وَٱلۡأَرۡضِ وَمَا بَيۡنَهُمَا ,"The Lord of the heavens and earth and that between them, ",ٱلۡأَرۡضِ
38:26,,يَٰدَاوُۥدُ إِنَّا جَعَلۡنَٰكَ خَلِيفَةٗ فِي ٱلۡأَرۡضِ ,"“O David, indeed We have made you a successor upon the earth, ",ٱلۡأَرۡضِ
,,سَمَآء,Heaven/ Sky,
