AyahRef,Word,Meaning,Highlight
,بـِـ,Do you not love for Allah to pardon you?,بِـسۡمِ
1:1,"بِـسۡمِ ٱللَّهِ ٱلرَّحۡمَٰنِ ٱلرَّحِيمِ ",What a good … !,بِـمِصۡرَ
10:87,وَأَوۡحَيۡنَآ إِلَىٰ مُوسَىٰ وَأَخِيهِ أَن تَبَوَّءَا لِقَوۡمِكُمَا بِـمِصۡرَ بُيُوتٗا,We found him patient. What an excellent servant! He was obedient.,بِـمَآ
2:4,وَٱلَّذِينَ يُؤۡمِنُونَ بِـمَآ أُنزِلَ إِلَيۡكَ,"And Noah called out to Us, and We are the Best of responders.",
,عَنۡ,What a foul/ bad ..!,عَنِ
74:49,فَمَا لَهُمۡ عَنِ ٱلتَّذۡكِرَةِ مُعۡرِضِينَ ,then I will consign him to the punishment of the Fire; how miserable the destiny!”,عَنّـِي
2:186,وَإِذَا سَأَلَكَ عِبَادِي عَنّـِي فَإِنِّي قَرِيبٌۖ,"Sufficient for him is Hellfire, and how wretched is the resting place.",
,فِي,Like,فِي
9:17,أُوْلَٰٓئِكَ حَبِطَتۡ أَعۡمَٰلُهُمۡ وَفِي ٱلنَّارِ هُمۡ خَٰلِدُونَ ,"And due to the wives is similar to what is expected of them, according to what is reasonable.",فِي
2:190,وَقَٰتِلُواْ فِي سَبِيلِ ٱللَّهِ ٱلَّذِينَ يُقَٰتِلُونَكُمۡ,Example,فِي
2:196,فَمَن لَّمۡ يَجِدۡ فَصِيَامُ ثَلَٰثَةِ أَيَّامٖ فِي ٱلۡحَجِّ,"Their likeness is like that of a person who kindled a fire; when it illuminated all around him,",
,كَــ,Or,كَـذَٰلِكَ
2:191,"كَـذَٰلِكَ جَزَآءُ ٱلۡكَٰفِرِينَ ","Or like a rainstorm from the sky, in which is darkness, and thunder, and lightning.",كَـأَلۡفِ
22:47,"وَإِنَّ يَوۡمًا عِندَ رَبِّكَ كَـأَلۡفِ سَنَةٖ مِّمَّا تَعُدُّونَ ","Then after that your hearts hardened. They were as rocks, or even harder.",
,لـ,Or ?,لِلۡفُقَرَآءِ
2:273,لِلۡفُقَرَآءِ ٱلَّذِينَ أُحۡصِرُواْ فِي سَبِيلِ ٱللَّهِ,or are you saying about Allah what you do not know?”,لِّلۡمُتَّقِينَ
2:2,"ذَٰلِكَ ٱلۡكِتَٰبُ لَا رَيۡبَۛ فِيهِۛ هُدٗى لِّلۡمُتَّقِينَ ",Or do you want to question your Messenger as Moses was questioned before?,
,مِنۡ,Some/ part (of),مِنۡ
4:78,وَإِن تُصِبۡهُمۡ حَسَنَةٞ يَقُولُواْ هَٰذِهِۦ مِنۡ عِندِ ٱللَّهِۖ,"We said, “Strike him with part of it. Thus does Allah bring the dead to life,",مِّنۡ
2:49,وَإِذۡ نَجَّيۡنَٰكُم مِّنۡ ءَالِ فِرۡعَوۡنَ,"He said, “I have tarried for a day, or part of a day.”",
,إِلَى,Every/ each,إِلَىٰٓ
2:85,وَيَوۡمَ ٱلۡقِيَٰمَةِ يُرَدُّونَ إِلَىٰٓ أَشَدِّ ٱلۡعَذَابِۗ,"he said, “I know that Allah has power over all things.”",إِلَىٰ
2:142,"يَهۡدِي مَن يَشَآءُ إِلَىٰ صِرَٰطٖ مُّسۡتَقِيمٖ ","then place a part on each hill,",
,حَتَّى,Perhaps/ may,حَتَّىٰ
2:196,وَلَا تَحۡلِقُواْ رُءُوسَكُمۡ حَتَّىٰ يَبۡلُغَ ٱلۡهَدۡيُ مَحِلَّهُۥ,And what may make you perceive? Perhaps the Hour is near.,حَتَّىٰ
3:92,لَن تَنَالُواْ ٱلۡبِرَّ حَتَّىٰ تُنفِقُواْ مِمَّا تُحِبُّونَۚ,"And obey Allah and the Messenger, that you may obtain mercy.",
,عَلَى,Possibly/ may,عَلَىٰ
2:260,ثُمَّ ٱجۡعَلۡ عَلَىٰ كُلِّ جَبَلٖ مِّنۡهُنَّ جُزۡءٗا,"But it may be that you dislike something while it is good for you,",عَلَى
3:97,وَلِلَّهِ عَلَى ٱلنَّاسِ حِجُّ ٱلۡبَيۡتِ مَنِ ٱسۡتَطَاعَ إِلَيۡهِ سَبِيلٗاۚ,and it may be that you like something while it is bad for you.,عَلَىٰ
3:98,"وَٱللَّهُ شَهِيدٌ عَلَىٰ مَا تَعۡمَلُونَ ",O!,
,مَعَ,"“O my people, you have done wrong to yourselves by worshiping the calf.”",مَعَ
3:193,رَبَّنَا فَٱغۡفِرۡ لَنَا ذُنُوبَنَا وَكَفِّرۡ عَنَّا سَيِّـَٔاتِنَا وَتَوَفَّنَا مَعَ ٱلۡأَبۡرَارِ,"And [recall] when you said, “O Moses, we will never believe you unless we see Allah outright.”",مَعَ
5:83,"رَبَّنَآ ءَامَنَّا فَٱكۡتُبۡنَا مَعَ ٱلشَّٰهِدِينَ ","O you who have believed, say not [to Allah's Messenger], ""Ra'ina""",
,وَ,At/ with/ from,وَ
"95:1,2",وَٱلتِّينِ وَٱلزَّيۡتُونِ ١ وَطُورِ سِينِينَ ٢,"They have different ranks with Allah,…",وَ
95:6,إِلَّا ٱلَّذِينَ ءَامَنُواْ وَعَمِلُواْ ٱلصَّٰلِحَٰتِ,,
,إِنَّ,"when the hearts are at the throats, choking them.",إِنَّ
2:20,إِنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٞ,,إِنَّ
2:26,إِنَّ ٱللَّهَ لَا يَسۡتَحۡيِۦٓ أَن يَضۡرِبَ مَثَلٗا مَّا بَعُوضَةٗ فَمَا فَوۡقَهَاۚ,And then We would have given them from Us a great reward.,
,أَنَّ,Not (negation),أَنَّ
2:77,"أَوَلَا يَعۡلَمُونَ أَنَّ ٱللَّهَ يَعۡلَمُ مَا يُسِرُّونَ وَمَا يُعۡلِنُونَ ",but they deceive not except themselves,أَنَّ
2:106,"أَلَمۡ تَعۡلَمۡ أَنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٌ ","They did not wrong Us, but they were [only] wronging themselves.",
,إِنۡ,What (question word),فَإِنۡ
2:137,فَإِنۡ ءَامَنُواْ بِمِثۡلِ مَآ ءَامَنتُم بِهِۦ فَقَدِ ٱهۡتَدَواْۖ,"He said, “What prevented you from prostrating when I have commanded you?”",إِنۡ
5:17,فَمَن يَمۡلِكُ مِنَ ٱللَّهِ شَيۡـًٔا إِنۡ أَرَادَ أَن يُهۡلِكَ ٱلۡمَسِيحَ,"He said, “O Aaron, what prevented you, when you saw them going astray.”",
,لَئِن,Which/ that (Relative pronoun),لَئِنۢ
5:28,لَئِنۢ بَسَطتَ إِلَيَّ يَدَكَ لِتَقۡتُلَنِي مَآ أَنَا۠ بِبَاسِطٖ يَدِيَ إِلَيۡكَ لِأَقۡتُلَكَۖ,"Their example is like that of one who kindled a fire; and when it lit up all that was around it,",
,أَنۡ,"And We will have removed whatever is within their breasts of resentment,",أَنۡ
5:31,قَالَ يَٰوَيۡلَتَىٰٓ أَعَجَزۡتُ أَنۡ أَكُونَ مِثۡلَ هَٰذَا ٱلۡغُرَابِ," (with)",أَنۡ
5:116,قَالَ سُبۡحَٰنَكَ مَا يَكُونُ لِيٓ أَنۡ أَقُولَ مَا لَيۡسَ لِي بِحَقٍّۚ,With which,
,كأَنَّ,He is fully Informed of what you do.,"كَأَن "
31:7,وَلَّىٰ مُسۡتَكۡبِرٗا كَأَن لَّمۡ يَسۡمَعۡهَا كَأَنَّ فِيٓ أُذُنَيۡهِ وَقۡرٗاۖ,"He said, “My Lord, with what you have favored me, I will not be…”",كَأَنَّهُۥ
7:171,وَإِذۡ نَتَقۡنَا ٱلۡجَبَلَ فَوۡقَهُمۡ كَأَنَّهُۥ ظُلَّةٞ,With what?,
,لَكِن,“What good news do you bring?”,لَٰكِن
2:12,"أَلَآ إِنَّهُمۡ هُمُ ٱلۡمُفۡسِدُونَ وَلَٰكِن لَّا يَشۡعُرُونَ ","and will see what [reply] the messengers will return.""",لَٰكِنَّ
2:243,"إِنَّ ٱللَّهَ لَذُو فَضۡلٍ عَلَى ٱلنَّاسِ وَلَٰكِنَّ أَكۡثَرَ ٱلنَّاسِ لَا يَشۡكُرُونَ "," (about)",
,لَمَّا,About which?,فَلَمَّا
2:259,فَلَمَّا تَبَيَّنَ لَهُۥ قَالَ أَعۡلَمُ أَنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٞ,and your Lord is not unaware of what they do.,لَمَّا
6:5,فَقَدۡ كَذَّبُواْ بِٱلۡحَقِّ لَمَّا جَآءَهُمۡ,and they will surely be questioned on the Day of Resurrection about what they used to invent.,
,لَوۡ,About what?,لَوۡ
2:20,وَلَوۡ شَآءَ ٱللَّهُ لَذَهَبَ بِسَمۡعِهِمۡ وَأَبۡصَٰرِهِمۡۚ,What are they asking one another about?,لَوۡ
6:9,وَلَوۡ جَعَلۡنَٰهُ مَلَكٗا لَّجَعَلۡنَٰهُ رَجُلٗا," (in)",
,لَوۡلَا (وَلَوۡلَا دَفۡعُ ٱللَّهِ),In which,فَلَوۡلَا
2:64,"فَلَوۡلَا فَضۡلُ ٱللَّهِ عَلَيۡكُمۡ وَرَحۡمَتُهُۥ لَكُنتُم مِّنَ ٱلۡخَٰسِرِينَ ",to judge between people regarding their differences.,لَوۡلَا
2:251,وَلَوۡلَا دَفۡعُ ٱللَّهِ ٱلنَّاسَ بَعۡضَهُم بِبَعۡضٖ لَّفَسَدَتِ ٱلۡأَرۡضُ,they attribute partners to Him in what He has given them.,
,لَوۡلَا (لَوۡلَا نُزِّلَتۡ سُورَةٞ),In what?,لَوۡلَا
47:20,وَيَقُولُ ٱلَّذِينَ ءَامَنُواْ لَوۡلَا نُزِّلَتۡ سُورَةٞۖ,In what (position) are you that you should mention it?,
,(مِنۡ) قَبۡل,"they will say, “What was the matter with you?”",مِن قَبۡلُۗ
2:108,أَمۡ تُرِيدُونَ أَن تَسۡـَٔلُواْ رَسُولَكُمۡ كَمَا سُئِلَ مُوسَىٰ مِن قَبۡلُۗ,(from),قَبۡلَ
20:130,وَسَبِّحۡ بِحَمۡدِ رَبِّكَ قَبۡلَ طُلُوعِ ٱلشَّمۡسِ وَقَبۡلَ غُرُوبِهَاۖ,From which,
,(مِنۡ) بَعۡد,and give from what We have provided for them.," مِنۢ بَعۡدِهِ"
2:51,"ثُمَّ ٱتَّخَذۡتُمُ ٱلۡعِجۡلَ مِنۢ بَعۡدِهِۦ وَأَنتُمۡ ظَٰلِمُونَ ","So consume from what you have gained, lawful and good",بَعۡدَ
2:120,وَلَئِنِ ٱتَّبَعۡتَ أَهۡوَآءَهُم بَعۡدَ ٱلَّذِي جَآءَكَ مِنَ ٱلۡعِلۡمِ,From what?,
,إِذۡ,So let man observe from what he was created.,إِذۡ
2:51,وَ إِذۡ وَٰعَدۡنَا مُوسَىٰٓ أَرۡبَعِينَ لَيۡلَةٗ ثُمَّ ٱتَّخَذۡتُمُ ٱلۡعِجۡلَ مِنۢ بَعۡدِهِۦ,(for),إِذۡ
2:125,وَ إِذۡ جَعَلۡنَا ٱلۡبَيۡتَ مَثَابَةٗ لِّلنَّاسِ وَأَمۡنٗا,To/ for which,
,إِذَا,"should a messenger come to you verifying what you have,",إِذَآ
2:156,ٱلَّذِينَ إِذَآ أَصَٰبَتۡهُم مُّصِيبَةٞ قَالُوٓاْ إِنَّا لِلَّهِ وَإِنَّآ إِلَيۡهِ رَٰجِعُونَ,"“And verifying what lies before me of the Torah,”",إِذَا
2:186,وَ إِذَا سَأَلَكَ عِبَادِي عَنِّي فَإِنِّي قَرِيبٌۖ,For what? Why?,
,ثُمَّ,"Say, “Why did you kill Allah’s prophets”",ثُمَّ
2:51,وَإِذۡ وَٰعَدۡنَا مُوسَىٰٓ أَرۡبَعِينَ لَيۡلَةٗ ثُمَّ ٱتَّخَذۡتُمُ ٱلۡعِجۡلَ مِنۢ بَعۡدِهِۦ,"O People of the Book! Why do you argue about Abraham,",ثُمَّ
2:259,فَأَمَاتَهُ ٱللَّهُ مِاْئَةَ عَامٖ ثُمَّ بَعَثَهُۥۖ,(like),
,فَــ,Just like,فَأَمَاتَهُ
2:259,قَالَ أَنَّىٰ يُحۡيِۦ هَٰذِهِ ٱللَّهُ بَعۡدَ مَوۡتِهَاۖ فَأَمَاتَهُ ٱللَّهُ مِاْئَةَ عَامٖ,Those to whom We have given the Book recognize it as they recognize their own children.,فَخُذۡ
2:260,قَالَ فَخُذۡ أَرۡبَعَةٗ مِّنَ ٱلطَّيۡرِ,"“You have come to Us individually, just as We created you the first time,…”",
,"ذُو "," (verily)",ذُو
2:105,"وَٱللَّهُ يَخۡتَصُّ بِرَحۡمَتِهِۦ مَن يَشَآءُۚ وَٱللَّهُ ذُو ٱلۡفَضۡلِ ٱلۡعَظِيمِ ",Verily is,
," ذَا ","Say, “Verily miracles are only with Allah,…”",ذَا
17:26,وَءَاتِ ذَا ٱلۡقُرۡبَىٰ حَقَّهُۥ وَٱلۡمِسۡكِينَ وَٱبۡنَ ٱلسَّبِيلِ,"Lest you say, “Verily, The Scripture was revealed to two parties before us,…”",
,ذِي," (that)",ذِي
17:42,"إِذٗا لَّٱبۡتَغَوۡاْ إِلَىٰ ذِي ٱلۡعَرۡشِ سَبِيلٗا ",That,
,ذَات,"And know that your possessions and your children are a test,",ذَاتِ
23:50,"وَءَاوَيۡنَٰهُمَآ إِلَىٰ رَبۡوَةٖ ذَاتِ قَرَارٖ وَمَعِينٖ ",and that they may know that He is but one God,
,"أُولُواْ "," (as if)",أُوْلُواْ
24:22,"وَلَا يَأۡتَلِ أُوْلُواْ ٱلۡفَضۡلِ مِنكُمۡ وَٱلسَّعَةِ أَن يُؤۡتُوٓاْ ",As if,
,أُولِي,They will have from Allah no protector. It will be as if their faces are covered with pieces of the night - so dark [are they].,"أُوْلِي ٱلۡقُرۡبَىٰ "
24:22,أَن يُؤۡتُوٓاْ أُوْلِي ٱلۡقُرۡبَىٰ وَٱلۡمَسَٰكِينَ وَٱلۡمُهَٰجِرِينَ فِي سَبِيلِ ٱللَّهِۖ,as though he were climbing up the sky.,
,أَهۡل,(every),أَهۡلِ
2:105,مَّا يَوَدُّ ٱلَّذِينَ كَفَرُواْ مِنۡ أَهۡلِ ٱلۡكِتَٰبِ وَلَا ٱلۡمُشۡرِكِينَ,Every time Whenever,أَهۡلِهِۦ ، أَهۡلِهَآ
4:35,وَإِنۡ خِفۡتُمۡ شِقَاقَ بَيۡنِهِمَا فَٱبۡعَثُواْ حَكَمٗا مِّنۡ أَهۡلِهِۦ وَحَكَمٗا مِّنۡ أَهۡلِهَآ,"Every time a nation enters, it will curse its sister.",
,ءَالِ,"As he was building the ark, and whenever some of his people passed by him, they ridiculed him.",ءَالِ
2:49,وَإِذۡ نَجَّيۡنَٰكُم مِّنۡ ءَالِ فِرۡعَوۡنَ يَسُومُونَكُمۡ سُوٓءَ ٱلۡعَذَابِ,(where),ءَالِ
12:6,وَيُتِمُّ نِعۡمَتَهُۥ عَلَيۡكَ وَعَلَىٰٓ ءَالِ يَعۡقُوبَ كَمَآ أَتَمَّهَا,Wherever,
,أَلَا (أَلَا بِذِكۡرِ ٱللَّهِ),"They are cursed; wherever they are found,",أَلَا
13:28,"أَلَا بِذِكۡرِ ٱللَّهِ تَطۡمَئِنُّ ٱلۡقُلُوبُ ","So wherever you [might] turn, there is the Face of Allah.",
,أَلَا (أَلَا تُحِبُّونَ),Where (?),أَلَا
16:59,"أَيُمۡسِكُهُۥ عَلَىٰ هُونٍ أَمۡ يَدُسُّهُۥ فِي ٱلتُّرَابِۗ أَلَا سَآءَ مَا يَحۡكُمُونَ ",And has made me blessed wherever I may be;,أَلَا
24:22,أَلَا تُحِبُّونَ أَن يَغۡفِرَ ٱللَّهُ لَكُمۡۚ,"And it will be said to them, “Where are those you used to worship?”",
,نِعۡمَ,(what good),نِّعۡمَ
38:44,"إِنَّا وَجَدۡنَٰهُ صَابِرٗاۚ نِّعۡمَ ٱلۡعَبۡدُ إِنَّهُۥٓ أَوَّابٞ ",It’s excellent,فَلَنِعۡمَ
37:75,"وَلَقَدۡ نَادَىٰنَا نُوحٞ فَلَنِعۡمَ ٱلۡمُجِيبُونَ ","If you give charity openly, that is good.",
,بِئۡسَ,Allah’s instructions to you are excellent.,وَبِئۡسَ
2:126,"ثُمَّ أَضۡطَرُّهُۥٓ إِلَىٰ عَذَابِ ٱلنَّارِۖ وَبِئۡسَ ٱلۡمَصِيرُ ",(what bad),وَلَبِئۡسَ
2:206,"فَحَسۡبُهُۥ جَهَنَّمُۖ وَلَبِئۡسَ ٱلۡمِهَادُ ",It’s bad,
," مِثۡل (مِثۡلُ ذَٰلِكَۗ)",“What an awful thing you did in my absence…”,مِثۡلُ
2:228,وَلَهُنَّ مِثۡلُ ٱلَّذِي عَلَيۡهِنَّ بِٱلۡمَعۡرُوفِۚ,Miserable is what they sold their souls for,
,مَثَل (مَّثَلُ ٱلۡجَنَّةِ),(then),مَثَلُهُمۡ ، كَمَثَلِ
2:17,مَثَلُهُمۡ كَمَثَلِ ٱلَّذِي ٱسۡتَوۡقَدَ نَارٗا فَلَمَّآ أَضَآءَتۡ مَا حَوۡلَهُۥ,then … not,
,أو,They did not waver for what afflicted them,أَوۡ
2:19,أَوۡ كَصَيِّبٖ مِّنَ ٱلسَّمَآءِ فِيهِ ظُلُمَٰتٞ وَرَعۡدٞ وَبَرۡقٞ,"Then we did not send you, [O Muhammad], as a guardian.",أَوۡ
2:74,ثُمَّ قَسَتۡ قُلُوبُكُم مِّنۢ بَعۡدِ ذَٰلِكَ فَهِيَ كَٱلۡحِجَارَةِ أَوۡ أَشَدُّ قَسۡوَةٗۚ,So .. what is?,
,أم,"He said, “So what do you have to say, O Samarian?”",أَمۡ
2:80,"أَمۡ تَقُولُونَ عَلَى ٱللَّهِ مَا لَا تَعۡلَمُونَ ",,أَمۡ
2:108,أَمۡ تُرِيدُونَ أَن تَسۡـَٔلُواْ رَسُولَكُمۡ كَمَا سُئِلَ مُوسَىٰ مِن قَبۡلُۗ,“So what is your opinion about the Lord of the Worlds?”,
,بَعۡض,As for,بِبَعۡضِهَاۚ
2:73,فَقُلۡنَا ٱضۡرِبُوهُ بِبَعۡضِهَاۚ كَذَٰلِكَ يُحۡيِ ٱللَّهُ ٱلۡمَوۡتَىٰ,"And as for Aad; they were annihilated by a furious, roaring wind.",بَعۡضَ
2:259,قَالَ لَبِثۡتُ يَوۡمًا أَوۡ بَعۡضَ يَوۡمٖۖ,But as for the unjust—they will be firewood for Hell.”,
,كُل,If /Either .. or,كُلِّ
2:259,"قَالَ أَعۡلَمُ أَنَّ ٱللَّهَ عَلَىٰ كُلِّ شَيۡءٖ قَدِيرٞ ","They said, “O Moses! Either you throw, or we are the ones to throw.”",كُلِّ
2:260,ثُمَّ ٱجۡعَلۡ عَلَىٰ كُلِّ جَبَلٖ مِّنۡهُنَّ جُزۡءٗا,,
,لَعَلّ,And if there should come to you guidance from Me - then whoever follows My guidance will neither go astray,لَعَلَّ
33:63,وَمَا يُدۡرِيكَ لَعَلَّ ٱلسَّاعَةَ تَكُونُ قَرِيبًا,,لَعَلَّكُمۡ
3:132,"وَأَطِيعُواْ ٱللَّهَ وَٱلرَّسُولَ لَعَلَّكُمۡ تُرۡحَمُونَ ",Lord/ O Lord,
,عَسَى,"[All] praise is [due] to Allah, Lord of the worlds – (1:2)",وَعَسَىٰٓ
2:216,"وَعَسَىٰٓ أَن تَكۡرَهُواْ شَيۡـٔٗا وَهُوَ خَيۡرٞ لَّكُمۡۖ ","And [mention] when Abraham said, ""My Lord, make this a secure city (2:126)",وَعَسَىٰٓ
2:216,وَعَسَىٰٓ أَن تُحِبُّواْ شَيۡـٔٗا وَهُوَ شَرّٞ لَّكُمۡۚ,"Our Lord, and make us Muslims [in submission] to You and from our descendants a Muslim nation [in submission] to You. (2:128)",
,يا (أَيُّهَا),Entirely Merciful,يَٰقَوۡمِ
2:54,يَٰقَوۡمِ إِنَّكُمۡ ظَلَمۡتُمۡ أَنفُسَكُم بِٱتِّخَاذِكُمُ ٱلۡعِجۡلَ,"In the name of Allah, the Entirely Merciful, the Especially Merciful. (1:1)",يَٰمُوسَىٰ
2:55,وَإِذۡ قُلۡتُمۡ يَٰمُوسَىٰ لَن نُّؤۡمِنَ لَكَ حَتَّىٰ نَرَى ٱللَّهَ جَهۡرَةٗ,"And your god is one God. There is no deity [worthy of worship] except Him, the Entirely Merciful, the Especially Merciful. (2:163)",يَٰٓأَيُّهَا
2:104,يَٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُواْ لَا تَقُولُواْ رَٰعِنَا,Especially Merciful,
,عِنۡد,"In the name of Allah, the Entirely Merciful, the Especially Merciful. (1:1)",عِندَ
3:163,هُمۡ دَرَجَٰتٌ عِندَ ٱللَّهِۗ,"And your god is one God. There is no deity [worthy of worship] except Him, the Entirely Merciful, the Especially Merciful. (2:163)",
," لَدى",(All-)Mighty,لَدَى
40:18,إِذِ ٱلۡقُلُوبُ لَدَى ٱلۡحَنَاجِرِ كَٰظِمِينَۚ,Then know that Allah is Exalted in Might and Wise. (2:209),
,لَدُن,"And if Allah had willed, He could have put you in difficulty. Indeed, Allah is Exalted in Might and Wise. (2:220)",لَّدُنَّآ
4:67,وَإِذٗا لَّأٓتَيۡنَٰهُم مِّن لَّدُنَّآ أَجۡرًا عَظِيمٗا,(All-)Wise,
,مَا (وَمَا كَانَ أَكۡثَرُهُم),Then know that Allah is Exalted in Might and Wise. (2:209),وَمَا
2:9,وَمَا يَخۡدَعُونَ إِلَّآ أَنفُسَهُمۡ,"And if Allah had willed, He could have put you in difficulty. Indeed, Allah is Exalted in Might and Wise. (2:220)",وَمَا
2:57,وَمَا ظَلَمُونَا وَلَٰكِن كَانُوٓاْ أَنفُسَهُمۡ يَظۡلِمُونَ,Most forgiving,
,مَا (مَا تَعۡبُدُونَ),but He holds you responsible for your intentions. And Allah is Forgiving and Forbearing. (2:225),مَا
7:12,قَالَ مَا مَنَعَكَ أَلَّا تَسۡجُدَ إِذۡ أَمَرۡتُكَۖ,And know that Allah is Oft-Forgiving and Most Forbearing. (2:235) ,مَا
20:92,قَالَ يَٰهَٰرُونُ مَا مَنَعَكَ إِذۡ رَأَيۡتَهُمۡ ضَلُّوٓاْ,God is Oft-Forgiving and Most Merciful. (4:96),
,مَا,Forbearing,مَا
2:17,مَثَلُهُمۡ كَمَثَلِ ٱلَّذِي ٱسۡتَوۡقَدَ نَارٗا فَلَمَّآ أَضَآءَتۡ مَا حَوۡلَهُۥ,but He holds you responsible for your intentions. And Allah is Forgiving and Forbearing. (2:225),مَا
15:47,وَنَزَعۡنَا مَا فِي صُدُورِهِم مِّنۡ غِلّٖ,And know that Allah is Oft-Forgiving and Most Forbearing. (2:235) ,
,"بِـ + مَا ",Great,
,بِمَا,"and their preservation does not burden Him. He is the Most High, the most Great. (2:255)",بِمَا
27:88,"إِنَّهُۥ خَبِيرُۢ بِمَا تَفۡعَلُونَ ",And Allah is the Possessor of Great bounty. (3:74),بِمَا
28:17,قَالَ رَبِّ بِمَآ أَنۡعَمۡتَ عَلَيَّ فَلَنۡ أَكُونَ,"Allah - there is no deity except Him, Lord of the Great Throne."" (27:26)",
,بِمَ,Exalted (high),فَبِمَ
15:54,"فَبِمَ تُبَشِّرُونَ ","and their preservation does not burden Him. He is the Most High, the most Great. (2:255)",بِمَ
27:35,"فَنَاظِرَةُۢ بِمَ يَرۡجِعُ ٱلۡمُرۡسَلُونَ ",(All-knowing) Knower,
,"عَن + مَا ","[These shares are] an obligation [imposed] by Allah. Indeed, Allah is All-Knowing and All-Wise. (4:11)",
,عَمَّا,"Indeed, Allah is All-Knowing, Acquainted [with all things]. (4:35)",عَمَّا
6:132,وَمَا رَبُّكَ بِغَٰفِلٍ عَمَّا يَعۡمَلُونَ ,"she said, “Who informed you of this?” He said, “The All-Knowing, the Acquainted, informed me.” (66:3)",عَمَّا
29:13,وَلَيُسۡـَٔلُنَّ يَوۡمَ ٱلۡقِيَٰمَةِ عَمَّا كَانُواْ يَفۡتَرُونَ,Acquainted,
,عَمَّ,"Indeed, Allah is All-Knowing, Acquainted [with all things]. (4:35)",
78:1,"عَمَّ يَتَسَآءَلُونَ ","she said, “Who informed you of this?” He said, “The All-Knowing, the Acquainted, informed me.” (66:3)",
,"فِي + مَا  ",The one who hears everything (all-hearing),
,فِيمَا,"Indeed, Allah is All-Hearing, All-Seeing. (4:58)",فِيمَا
2:213,لِيَحۡكُمَ بَيۡنَ ٱلنَّاسِ فِيمَا ٱخۡتَلَفُواْ فِيهِۚ,"then with Allah is the reward of this world and the Hereafter. And Allah is All-Hearing, All-Seeing. (4:134)",فِيمَا
7:190,جَعَلَا لَهُۥ شُرَكَآءَ فِيمَا ءَاتَىٰهُمَاۚ,All-seeing,
,فِيمَ,"Indeed, Allah is All-Hearing, All-Seeing. (4:58)",فِيمَ
79:43,"فِيمَ أَنتَ مِن ذِكۡرَىٰهَآ ","then with Allah is the reward of this world and the Hereafter. And Allah is All-Hearing, All-Seeing. (4:134)",فِيمَ
4:97,قَالُواْ فِيمَ كُنتُمۡۖ,Appreciative/ Grateful,
," مِن + مَا  ","That He may give them in full their rewards and increase for them of His bounty. Indeed, He is Forgiving and Appreciative. (35:30)",
,مِمَا,"And remind them of the days of Allah."" Indeed, in that are signs for everyone patient and Appreciative. (14: 5)",مِمَا
2:3,"وَمِمَّا رَزَقۡنَٰهُمۡ يُنفِقُونَ ",Competent,مِمَا
8:69," فَكُلُواْ مِمَّا غَنِمۡتُمۡ حَلَٰلٗا طَيِّبٗاۚ",Do you not know that Allah is over all things Competent? (2:106),
,مِمَ,"indeed, Allah is ever Pardoning and Competent. (4:149)",مِمَّ
86:5,"فَلۡيَنظُرِ ٱلۡإِنسَٰنُ مِمَّ خُلِقَ ",Disposer (of all affairs),
,"لِـ + مَا  ",So leave them alone and rely upon Allah. And sufficient is Allah as Disposer of affairs. (4:81),
,لِمَا,"and they said, ""Sufficient for us is Allah, and [He is] the best Disposer of affairs."" (2:173)",لِّمَا
3:81,جَآءَكُمۡ رَسُولٞ مُّصَدِّقٞ لِّمَا مَعَكُمۡ,(Strong) helper,لِّمَا
5:46,مُصَدِّقٗا لِّمَا بَيۡنَ يَدَيۡهِ مِنَ ٱلتَّوۡرَىٰةِۖ, and that apart from Allah you have no guardian or helper? (2:107) ,
,لِمَ,"And appoint for us from Yourself a protector and appoint for us from Yourself a helper?"" (4:75)",فَلِمَ
2:91,قُلۡ فَلِمَ تَقۡتُلُونَ أَنۢبِيَآءَ ٱللَّهِ,Praiseworthy,لِمَ
3:65,يَٰٓأَهۡلَ ٱلۡكِتَٰبِ لِمَ تُحَآجُّونَ فِيٓ إِبۡرَٰهِيمَ,And know that Allah is Free of need and Praiseworthy. (2:267) ,
,"كَـ + مَا ","May the mercy of Allah and His blessings be upon you, people of the house. Indeed, He is Praiseworthy and Glorious.” (11:73)",
,كَمَا,"Acceptor of repentance ",كَمَا
2:146,ٱلَّذِينَ ءَاتَيۡنَٰهُمُ ٱلۡكِتَٰبَ يَعۡرِفُونَهُۥ كَمَا يَعۡرِفُونَ أَبۡنَآءَهُمۡۖ,"and accept our repentance. Indeed, You are the Acceptor of Repentance, the Especially Merciful. (2:128) ",كَمَا
6:94,وَلَقَدۡ جِئۡتُمُونَا فُرَٰدَىٰ كَمَا خَلَقۡنَٰكُمۡ أَوَّلَ مَرَّةٖ,"And fear Allah; indeed, Allah is Accepting of repentance and Merciful. (49:12) ",
,"إِنَّ + مَا ",First,
,إنَّمَا,"Indeed, the first House [of worship] established for mankind was that at Makkah - (3:96)",إِنَّمَا
